分区,位置,段号,商品名,货号
OTC,C2,3,复方氨酚烷胺胶囊（快克）ZM,01001285
OTC,C2,4,复方氨酚烷胺片（海佳）,10020451
OTC,C2,5,复方氨酚烷胺片（感康）,10020015
OTC,C2,6,氨酚咖那敏片（新康泰克）,01003954
OTC,C3,1,感冒清热软胶囊（欧意）ds,02000857
OTC,C3,2,复方氨酚烷胺片(安泰邦)YK,01004193
OTC,C3,3,连花清瘟胶囊（以岭）ZM,02002250
OTC,C3,4,复方氨酚烷胺胶囊（达洛克）Z,01001304
OTC,C3,5,复方氨酚烷胺胶囊（感康）,01009612
OTC,C4,1,感冒软胶囊（博祥）,10020478
OTC,C4,2,复方氨酚烷胺胶囊（葵花得菲尔）BXds,01000419
OTC,C4,3,复方氨酚烷胺片(感莎)ZM,01002660
OTC,C4,4,复方氨酚烷胺胶囊（999D速复康）ds,01002619
OTC,C4,5,氨酚咖那敏片（泰凯林）,01009945
OTC,C5,1,藿香正气滴丸（天士力）ZM,50050133
OTC,C5,2,氨咖黄敏胶囊（乐赛仙）HC,01003399
OTC,C5,3,藿香正气胶囊（仁和中方）,01001209
OTC,C5,4,复方氨酚烷胺胶囊（快克）,10020330
OTC,C5,5,氨咖黄敏胶囊（安泰邦）YK,01009964
OTC,C5,6,小儿氨酚黄那敏颗粒（葵花）BX,01003517
OTC,C6,1,藿香正气合剂（强丰）,02006656
OTC,C6,2,连花清瘟胶囊,02004280
OTC,C6,3,（加味）藿香正气合剂（999D）,02005768
OTC,C6,4,加味藿香正气合剂（白云山）（潘高寿）,02007114
OTC,C6,5,小儿氨酚黄那敏颗粒（菲迪安）,01005683
OTC,C7,1,小儿氨酚黄那敏颗粒（999）ZM,01001988
OTC,C7,2,小儿氨酚黄那敏颗粒(羚锐)ds,01004617
OTC,C7,3,小儿氨酚黄那敏颗粒（葵花）BX,10020428
OTC,C7,4,小儿氨酚黄那敏颗粒(康必得),02000363
OTC,C7,5,小儿氨酚黄那敏片,01000895
OTC,C8,1,小儿氨酚黄那敏颗粒（葵花康宝）,01004705
OTC,C8,2,小儿氨酚黄那敏颗粒（建功）SQ,01005284
OTC,C8,3,小儿氨酚烷胺颗粒（葵花康宝）,01000475
OTC,C8,4,小儿复方氨酚烷胺片（葵花）BX,01000412
OTC,C8,5,布洛芬颗粒（小快克）,01002547
OTC,C8,6,布洛芬颗粒（葵花）BX,01002003
OTC,C9,1,布洛芬混悬液（建功）SQ,01005511
OTC,C9,2,布洛芬混悬液（托恩）,01000533
OTC,C9,3,精氨酸布洛芬颗粒SY,01003088
OTC,C9,4,小儿氨酚黄那敏颗粒（小快克）,10100198
OTC,C9,5,小儿氨酚烷胺颗粒（优卡丹）（仁和G）,01002627
OTC,C9,6,小儿清肺化痰颗粒（神威）,02006006
OTC,C10,1,氯雷他定糖浆（小快克）,01005403
OTC,C10,2,小儿解表口服液（ZM）,02005040
OTC,C10,3,布洛芬混悬液（中大）,01002994
OTC,C10,4,小儿氨酚黄那敏颗粒（小快克）ZM,01005531
OTC,C10,5,小儿氨酚黄那敏颗粒（护彤）,10020034
OTC,C11,1,复方氨酚那敏颗粒（古药）,10022002
OTC,C11,2,复方氨酚那敏颗粒（速冲）（长天）,01005406
